sample,point,x1,x2,objective_space_rank
0,1,0.1,0.74,3
0,2,0.18,0.49,1
0,3,0.12,0.61,2
0,4,0.33,0.58,1
0,5,0.46,0.28,1
0,6,0.41,0.45,1
0,7,0.63,0.12,3
0,8,0.57,0.26,2
0,9,0.71,0.33,1
0,10,0.82,0.08,4
1,1,0.312,0.844,2
1,2,0.093,0.237,1
1,3,0.027,0.417,2
1,4,0.586,0.586,1
1,5,0.288,0.288,1
1,6,0.396,0.396,1
1,7,0.539,0.179,2
1,8,0.595,0.383,1
1,9,0.813,0.578,1
1,10,0.83,0.134,2
2,1,0.561,0.943,2
2,2,0.011,0.011,1
2,3,0.144,0.179,1
2,4,0.733,0.733,1
2,5,0.283,0.283,1
2,6,0.503,0.503,1
2,7,0.406,0.379,1
2,8,0.615,0.615,1
2,9,0.916,0.829,1
2,10,0.566,0.136,2
3,1,0.686,0.995,2
3,2,0.014,0.014,1
3,3,0.155,0.155,1
3,4,0.821,0.821,1
3,5,0.274,0.274,1
3,6,0.591,0.591,1
3,7,0.484,0.484,1
3,8,0.703,0.703,1
3,9,0.986,0.986,1
3,10,0.418,0.341,1
4,1,0.744,0.958,2
4,2,0.014,0.014,1
4,3,0.161,0.161,1
4,4,0.821,0.821,1
4,5,0.28,0.28,1
4,6,0.591,0.591,1
4,7,0.489,0.489,1
4,8,0.703,0.703,1
4,9,0.986,0.986,1
4,10,0.383,0.383,1
5,1,0.86,0.86,1
5,2,0.011,0.011,1
5,3,0.163,0.163,1
5,4,0.761,0.761,1
5,5,0.277,0.277,1
5,6,0.577,0.577,1
5,7,0.481,0.481,1
5,8,0.666,0.666,1
5,9,0.989,0.989,1
5,10,0.385,0.385,1
6,1,0.86,0.86,1
6,2,0.011,0.011,1
6,3,0.163,0.163,1
6,4,0.761,0.761,1
6,5,0.277,0.277,1
6,6,0.577,0.577,1
6,7,0.481,0.481,1
6,8,0.666,0.666,1
6,9,0.992,0.992,1
6,10,0.385,0.385,1
7,1,0.863,0.863,1
7,2,0.014,0.014,1
7,3,0.161,0.161,1
7,4,0.758,0.758,1
7,5,0.28,0.28,1
7,6,0.574,0.574,1
7,7,0.484,0.484,1
7,8,0.669,0.669,1
7,9,0.99,0.99,1
7,10,0.383,0.383,1
8,1,0.863,0.863,1
8,2,0.014,0.014,1
8,3,0.161,0.161,1
8,4,0.758,0.758,1
8,5,0.28,0.28,1
8,6,0.574,0.574,1
8,7,0.484,0.484,1
8,8,0.669,0.669,1
8,9,0.99,0.99,1
8,10,0.383,0.383,1
