sample,point,F1,F2,objective_space_rank
0,1,0.561,0.721,3
0,2,0.534,0.864,1
0,3,0.537,0.807,2
0,4,0.687,0.777,1
0,5,0.595,0.855,1
0,6,0.675,0.815,1
0,7,0.544,0.794,3
0,8,0.634,0.804,2
0,9,0.734,0.694,1
0,10,0.561,0.661,4
1,1,0.751,0.595,2
1,2,0.297,0.968,1
1,3,0.357,0.913,2
1,4,0.828,0.657,1
1,5,0.494,0.917,1
1,6,0.635,0.843,1
1,7,0.557,0.839,2
1,8,0.728,0.749,1
1,9,0.893,0.503,1
1,10,0.61,0.647,2
2,1,0.902,0.398,2
2,2,0.022,1.0,1
2,3,0.296,0.974,1
2,4,0.929,0.463,1
2,5,0.486,0.92,1
2,6,0.753,0.747,1
2,7,0.631,0.846,1
2,8,0.852,0.622,1
2,9,0.982,0.237,1
2,10,0.533,0.831,2
3,1,0.951,0.269,2
3,2,0.028,1.0,1
3,3,0.286,0.976,1
3,4,0.968,0.327,1
3,5,0.473,0.925,1
3,6,0.833,0.651,1
3,7,0.733,0.766,1
3,8,0.912,0.506,1
3,9,1.0,0.028,1
3,10,0.613,0.855,1
4,1,0.966,0.264,2
4,2,0.028,1.0,1
4,3,0.295,0.974,1
4,4,0.968,0.327,1
4,5,0.481,0.922,1
4,6,0.833,0.651,1
4,7,0.739,0.761,1
4,8,0.912,0.506,1
4,9,1.0,0.028,1
4,10,0.619,0.854,1
5,1,0.98,0.26,1
5,2,0.022,1.0,1
5,3,0.3,0.973,1
5,4,0.943,0.421,1
5,5,0.477,0.923,1
5,6,0.821,0.667,1
5,7,0.73,0.769,1
5,8,0.889,0.556,1
5,9,1.0,0.022,1
5,10,0.622,0.851,1
6,1,0.98,0.26,1
6,2,0.022,1.0,1
6,3,0.3,0.973,1
6,4,0.943,0.421,1
6,5,0.477,0.923,1
6,6,0.821,0.667,1
6,7,0.73,0.769,1
6,8,0.889,0.556,1
6,9,1.0,0.015,1
6,10,0.622,0.851,1
7,1,0.981,0.255,1
7,2,0.028,1.0,1
7,3,0.295,0.974,1
7,4,0.942,0.425,1
7,5,0.481,0.922,1
7,6,0.819,0.67,1
7,7,0.733,0.766,1
7,8,0.89,0.553,1
7,9,1.0,0.021,1
7,10,0.619,0.854,1
8,1,0.981,0.255,1
8,2,0.028,1.0,1
8,3,0.295,0.974,1
8,4,0.942,0.425,1
8,5,0.481,0.922,1
8,6,0.819,0.67,1
8,7,0.733,0.766,1
8,8,0.89,0.553,1
8,9,1.0,0.021,1
8,10,0.619,0.854,1
